,0,1
2979,91,3047
2980,1296,490
2981,778,1819
2982,531,3462
2983,897,2482
2984,246,1674
2985,89,208
2986,260,2658
2987,872,3672
2988,846,2717
2989,718,1977
2990,571,37
2991,1695,282
2992,1660,1790
2993,536,695
2994,1053,2315
2995,348,2771
2996,274,1806
2997,604,3677
2998,1115,725
2999,17,596
3000,1050,3651
3001,572,639
3002,772,2021
3003,745,2494
3004,1050,962
3005,576,2026
3006,1570,3476
3007,154,640
3008,556,1413
3009,1421,1169
3010,1053,777
3011,791,2907
3012,428,2430
3013,1233,3378
3014,1338,998
3015,496,1251
3016,603,203
3017,485,1105
3018,1065,659
3019,23,3310
3020,1582,2510
3021,1608,3124
3022,733,3069
3023,342,2715
3024,1670,296
3025,1278,2013
3026,965,3178
3027,392,916
3028,107,1347
3029,1593,3307
3030,1692,1118
3031,839,1045
3032,1563,597
3033,1362,30
3034,631,3476
3035,948,1789
3036,1268,2794
3037,1647,414
3038,224,2646
3039,747,3132
3040,853,1333
3041,1392,3577
3042,1518,1115
3043,650,1587
3044,972,2886
3045,1207,2214
3046,582,467
3047,236,1891
3048,826,1464
3049,1515,20
3050,1311,3408
3051,1002,3247
3052,1128,168
3053,1318,2967
3054,1216,2656
3055,310,48
3056,230,1648
3057,44,841
3058,1354,596
3059,598,3472
3060,1038,1852
3061,386,1522
3062,965,2308
3063,755,1443
3064,1399,3540
3065,196,2145
3066,627,437
3067,1698,1331
3068,1162,630
3069,619,3063
3070,96,3621
3071,925,155
3072,786,2412
3073,1637,1587
3074,1626,2213
3075,1091,2796
3076,1552,2775
3077,1409,1281
3078,1012,832
3079,461,3669
3080,17,2560
3081,1215,1282
3082,990,2714
3083,193,1523
3084,1555,1741
3085,915,2256
3086,1550,2886
3087,326,986
3088,300,1071
3089,1238,3071
3090,1713,1752
3091,506,3112
3092,233,2400
3093,1182,3113
3094,397,3069
3095,635,1923
3096,1179,2150
3097,1038,1732
3098,627,386
3099,341,3091
3100,613,1640
3101,1562,3421
3102,1384,1204
3103,118,2977
3104,809,2681
3105,386,2804
3106,57,2098
3107,337,60
3108,724,450
3109,1252,807
3110,518,526
3111,579,3052
3112,1441,1065
3113,1055,1801
3114,379,1895
3115,1061,1703
3116,1530,1683
3117,667,3097
3118,722,2702
3119,883,866
3120,65,2552
3121,667,743
3122,1063,3489
3123,1095,2202
3124,1145,45
3125,1269,1292
3126,1708,1083
3127,1624,1884
3128,120,1892
3129,984,266
3130,218,448
3131,1661,3640
3132,1173,3114
3133,412,0
3134,1669,3531
3135,1440,2386
3136,960,2936
3137,1316,3161
3138,756,1707
3139,449,3644
3140,295,2295
3141,1258,1645
3142,953,603
3143,254,2742
3144,1177,1420
3145,1301,2405
3146,1715,1990
3147,147,2309
3148,462,3553
3149,372,633
3150,1152,2844
3151,507,1279
3152,993,1749
3153,199,2028
3154,893,445
3155,1105,2229
3156,1202,3569
3157,988,2660
3158,817,2438
3159,1027,3004
3160,447,2773
3161,727,2186
3162,942,2518
3163,1528,1407
3164,528,1717
3165,1690,2883
3166,1537,3499
3167,1685,2507
3168,340,2709
3169,586,3177
3170,1587,533
3171,1201,401
3172,1570,1688
3173,825,2787
3174,203,1469
3175,164,1160
3176,990,3097
3177,1702,3042
3178,920,2081
3179,102,2511
3180,903,2258
3181,1429,2430
3182,480,2332
3183,509,1450
3184,1122,3653
3185,812,3605
3186,1291,738
3187,767,3560
3188,1072,1459
3189,521,2098
3190,609,3097
3191,1538,3007
3192,1534,3388
3193,377,3139
3194,954,1078
3195,293,275
3196,1437,1282
3197,11,1076
3198,1571,359
3199,1559,632
3200,717,459
3201,192,3590
3202,1592,111
3203,227,2014
3204,801,3633
3205,56,2423
3206,59,2608
3207,250,2546
3208,663,1526
3209,1570,2650
3210,771,1412
3211,745,3618
3212,108,1541
3213,1599,1079
3214,758,3121
3215,536,2909
3216,0,2241
3217,1018,2809
3218,413,606
3219,44,1493
3220,642,2069
3221,1362,2603
3222,845,757
3223,349,107
3224,1585,858
3225,693,3234
3226,371,1931
3227,697,2393
3228,392,1901
3229,876,1699
3230,1454,2389
3231,1511,223
3232,934,2033
3233,1438,1874
3234,380,2240
3235,990,3305
3236,446,1831
3237,847,3072
3238,86,428
3239,1647,3282
3240,1010,2696
3241,865,2642
3242,1300,119
3243,861,3723
3244,97,2952
3245,1414,30
3246,963,2194
3247,1052,1586
3248,1616,1833
3249,173,3210
3250,1013,120
3251,1191,2224
3252,607,3643
3253,1230,3534
3254,1404,154
3255,1449,585
3256,155,3130
3257,1280,495
3258,282,2709
3259,126,2651
3260,1041,2042
3261,79,3388
3262,1134,780
3263,740,1265
3264,1256,1689
3265,385,3073
3266,68,2392
3267,496,108
3268,612,1259
3269,1482,26
3270,1076,2892
3271,1094,2400
3272,635,606
3273,147,3559
3274,554,2016
3275,411,3524
3276,992,447
3277,1308,3029
3278,142,2097
3279,82,3240
3280,632,2995
3281,653,101
3282,609,3656
3283,645,1855
3284,456,2523
3285,1516,332
3286,1518,1132
3287,565,2680
3288,226,2227
3289,1385,3670
3290,1276,882
3291,1298,2290
3292,1266,331
3293,1336,1590
3294,910,3679
3295,1129,3634
3296,449,2863
3297,93,530
3298,184,497
